iter	Passed	Remaining
0	138	138180
1	139	69402
2	139	46459
3	140	34975
4	141	28077
5	141	23475
6	142	20191
7	142	17722
8	143	15798
9	144	14258
10	144	12997
11	145	11946
12	145	11057
13	146	10313
14	147	9683
15	148	9105
16	148	8593
17	149	8153
18	150	7751
19	150	7387
20	151	7055
21	151	6752
22	152	6475
23	153	6223
24	153	5991
25	154	5776
26	154	5577
27	155	5393
28	155	5221
29	156	5060
30	157	4909
31	157	4767
32	158	4635
33	158	4509
34	159	4391
35	159	4280
36	161	4203
37	162	4104
38	162	4010
39	163	3919
40	163	3833
41	164	3751
42	165	3673
43	165	3597
44	166	3526
45	166	3457
46	167	3390
47	167	3327
48	168	3267
49	168	3209
50	169	3154
51	170	3100
52	170	3048
53	171	2997
54	171	2949
55	172	2902
56	172	2858
57	173	2815
58	173	2774
59	174	2734
60	176	2714
61	177	2683
62	178	2647
63	178	2611
64	179	2577
65	179	2544
66	180	2511
67	180	2479
68	181	2449
69	182	2418
70	182	2389
71	183	2361
72	183	2334
73	184	2307
74	184	2281
75	185	2255
76	186	2231
77	186	2206
78	187	2183
79	187	2160
80	188	2137
81	189	2116
82	189	2092
83	189	2071
84	190	2052
85	191	2033
86	191	2014
87	192	1996
88	193	1979
89	193	1961
90	194	1944
91	195	1926
92	195	1909
93	196	1893
94	197	1876
95	197	1860
96	198	1844
97	198	1829
98	199	1814
99	199	1799
100	200	1785
101	201	1771
102	201	1757
103	202	1743
104	203	1730
105	203	1717
106	204	1704
107	205	1700
108	206	1689
109	207	1678
110	208	1666
111	208	1654
112	209	1642
113	209	1631
114	210	1620
115	211	1608
116	211	1596
117	212	1586
118	212	1575
119	213	1565
120	214	1554
121	214	1543
122	215	1533
123	215	1524
124	216	1514
125	216	1504
126	217	1494
127	218	1486
128	218	1477
129	219	1469
130	220	1460
131	220	1452
132	221	1443
133	222	1435
134	222	1427
135	223	1419
136	224	1411
137	224	1404
138	225	1396
139	226	1388
140	226	1380
141	227	1372
142	227	1364
143	228	1357
144	228	1349
145	229	1342
146	230	1335
147	230	1327
148	231	1320
149	231	1314
150	232	1307
151	233	1300
152	233	1293
153	234	1287
154	235	1282
155	235	1276
156	236	1270
157	237	1263
158	237	1258
159	238	1252
160	238	1244
161	239	1238
162	240	1232
163	240	1226
164	241	1220
165	241	1214
166	242	1209
167	242	1203
168	243	1197
169	244	1192
170	244	1186
171	245	1181
172	245	1175
173	246	1170
174	247	1165
175	247	1159
176	248	1154
177	248	1149
178	249	1144
179	250	1139
180	250	1134
181	251	1129
182	252	1125
183	252	1120
184	253	1115
185	253	1110
186	254	1106
187	255	1101
188	255	1096
189	256	1092
190	256	1087
191	257	1083
192	258	1078
193	258	1074
194	259	1070
195	259	1065
196	260	1061
197	261	1057
198	261	1053
199	262	1049
200	262	1045
201	263	1041
202	264	1037
203	264	1033
204	265	1029
205	266	1025
206	266	1021
207	267	1017
208	267	1013
209	268	1010
210	269	1006
211	269	1002
212	270	998
213	270	995
214	271	991
215	272	987
216	272	984
217	273	980
218	273	976
219	274	973
220	275	969
221	275	965
222	276	962
223	276	958
224	277	955
225	277	952
226	278	948
227	279	945
228	279	942
229	280	938
230	281	935
231	281	932
232	282	929
233	282	925
234	283	922
235	284	919
236	284	916
237	285	912
238	285	909
239	286	906
240	286	903
241	287	900
242	288	897
243	288	894
244	289	891
245	289	888
246	290	885
247	291	882
248	291	879
249	292	876
250	292	873
251	293	871
252	294	868
253	294	865
254	295	863
255	296	860
256	296	857
257	297	855
258	297	852
259	298	849
260	299	847
261	299	844
262	300	841
263	300	838
264	301	836
265	302	833
266	302	830
267	303	828
268	303	825
269	304	823
270	305	820
271	305	818
272	306	815
273	306	812
274	307	810
275	308	808
276	308	805
277	309	803
278	310	801
279	310	798
280	311	796
281	311	794
282	312	791
283	313	789
284	313	787
285	314	784
286	314	782
287	315	780
288	316	777
289	316	775
290	317	773
291	317	770
292	318	768
293	319	766
294	319	763
295	320	761
296	320	759
297	321	757
298	322	755
299	322	752
300	323	750
301	323	748
302	324	746
303	325	744
304	325	742
305	326	740
306	327	738
307	327	736
308	328	734
309	328	731
310	329	729
311	329	727
312	330	725
313	331	723
314	331	721
315	332	719
316	332	717
317	333	715
318	334	713
319	334	711
320	335	708
321	335	706
322	336	704
323	336	702
324	337	700
325	338	698
326	338	697
327	339	695
328	339	693
329	340	691
330	341	689
331	341	687
332	342	685
333	342	683
334	343	681
335	344	679
336	344	678
337	345	676
338	345	674
339	346	672
340	346	670
341	347	668
342	348	666
343	348	664
344	349	663
345	349	661
346	350	659
347	351	657
348	351	655
349	352	654
350	352	652
351	353	650
352	353	648
353	354	646
354	355	645
355	355	643
356	356	641
357	356	640
358	357	638
359	358	636
360	358	634
361	359	633
362	359	631
363	360	629
364	361	628
365	361	626
366	362	624
367	362	623
368	363	621
369	364	620
370	364	618
371	365	616
372	366	615
373	366	613
374	367	612
375	368	610
376	368	609
377	369	607
378	369	606
379	370	604
380	371	603
381	371	601
382	372	600
383	373	598
384	373	596
385	374	595
386	374	593
387	375	592
388	376	590
389	376	589
390	377	587
391	377	586
392	378	584
393	379	583
394	379	581
395	380	580
396	380	578
397	381	577
398	382	575
399	382	574
400	383	572
401	384	571
402	384	570
403	385	569
404	386	567
405	387	566
406	387	564
407	388	563
408	388	562
409	389	560
410	390	559
411	390	557
412	391	556
413	392	554
414	392	553
415	393	552
416	393	550
417	394	549
418	395	548
419	395	546
420	396	545
421	397	543
422	397	542
423	398	541
424	399	539
425	399	538
426	400	537
427	400	535
428	401	534
429	402	533
430	402	531
431	403	530
432	404	529
433	404	527
434	405	526
435	405	525
436	406	523
437	407	522
438	407	520
439	408	519
440	408	518
441	409	516
442	410	515
443	410	514
444	411	512
445	411	511
446	412	510
447	413	509
448	413	507
449	414	506
450	414	505
451	415	503
452	416	502
453	416	501
454	417	500
455	418	498
456	418	497
457	419	496
458	419	495
459	420	493
460	421	492
461	421	491
462	422	489
463	423	488
464	423	487
465	424	486
466	424	484
467	425	483
468	426	482
469	426	481
470	427	479
471	427	478
472	428	477
473	429	476
474	429	474
475	430	473
476	431	472
477	431	471
478	432	470
479	433	469
480	433	468
481	434	466
482	434	465
483	435	464
484	436	463
485	436	461
486	437	460
487	437	459
488	438	458
489	439	457
490	439	455
491	440	454
492	441	453
493	441	452
494	442	451
495	442	450
496	443	448
497	444	447
498	444	446
499	445	445
500	446	444
501	446	443
502	447	442
503	448	440
504	448	439
505	449	438
506	449	437
507	450	436
508	451	435
509	451	433
510	452	432
511	452	431
512	453	430
513	454	429
514	454	428
515	455	427
516	455	425
517	456	424
518	457	423
519	457	422
520	458	421
521	459	420
522	459	419
523	460	418
524	460	416
525	461	415
526	462	414
527	462	413
528	463	412
529	463	411
530	464	410
531	465	409
532	465	408
533	466	406
534	466	405
535	467	404
536	468	403
537	468	402
538	469	401
539	469	400
540	470	399
541	471	398
542	471	396
543	472	395
544	472	394
545	473	393
546	474	392
547	474	391
548	475	390
549	476	389
550	476	388
551	477	387
552	477	386
553	478	385
554	479	384
555	479	383
556	480	382
557	480	380
558	481	379
559	482	378
560	482	377
561	483	376
562	483	375
563	484	374
564	485	373
565	485	372
566	486	371
567	486	370
568	487	369
569	487	368
570	488	367
571	489	366
572	489	365
573	490	364
574	491	363
575	491	362
576	492	361
577	493	359
578	493	358
579	494	357
580	494	356
581	495	355
582	496	354
583	496	353
584	497	352
585	497	351
586	498	350
587	499	349
588	499	348
589	500	347
590	501	346
591	501	345
592	502	344
593	502	343
594	503	342
595	504	341
596	504	340
597	505	339
598	506	338
599	506	337
600	507	336
601	507	335
602	508	334
603	509	333
604	509	332
605	510	331
606	511	330
607	511	329
608	512	328
609	512	327
610	513	326
611	514	325
612	514	324
613	515	324
614	516	323
615	516	322
616	517	321
617	517	320
618	518	319
619	519	318
620	519	317
621	520	316
622	521	315
623	522	314
624	522	313
625	523	312
626	523	311
627	524	310
628	525	309
629	525	308
630	526	307
631	526	306
632	527	305
633	528	304
634	528	303
635	529	303
636	530	302
637	530	301
638	531	300
639	531	299
640	532	298
641	533	297
642	534	296
643	534	295
644	535	294
645	536	293
646	536	292
647	537	291
648	538	291
649	538	290
650	539	289
651	540	288
652	540	287
653	541	286
654	542	285
655	542	284
656	543	283
657	543	282
658	544	281
659	545	280
660	545	279
661	546	279
662	547	278
663	547	277
664	548	276
665	549	275
666	549	274
667	550	273
668	551	272
669	551	271
670	552	270
671	553	269
672	553	269
673	554	268
674	554	267
675	555	266
676	556	265
677	556	264
678	557	263
679	558	262
680	558	261
681	559	260
682	559	259
683	560	258
684	561	258
685	561	257
686	562	256
687	562	255
688	564	254
689	565	254
690	566	253
691	566	252
692	567	251
693	568	250
694	568	249
695	569	248
696	569	247
697	570	246
698	570	245
699	571	244
700	572	244
701	572	243
702	573	242
703	573	241
704	574	240
705	575	239
706	575	238
707	576	237
708	576	236
709	577	235
710	578	235
711	578	234
712	579	233
713	580	232
714	580	231
715	581	230
716	581	229
717	582	228
718	583	227
719	583	226
720	584	226
721	584	225
722	585	224
723	586	223
724	586	222
725	587	221
726	587	220
727	588	219
728	589	218
729	589	218
730	590	217
731	590	216
732	591	215
733	592	214
734	592	213
735	593	212
736	593	211
737	594	211
738	595	210
739	595	209
740	596	208
741	597	207
742	597	206
743	598	205
744	598	205
745	599	204
746	600	203
747	600	202
748	601	201
749	602	200
750	602	199
751	603	198
752	603	198
753	604	197
754	605	196
755	605	195
756	606	194
757	606	193
758	607	192
759	608	192
760	608	191
761	609	190
762	610	189
763	610	188
764	611	187
765	612	186
766	612	186
767	613	185
768	613	184
769	614	183
770	615	182
771	615	181
772	616	181
773	616	180
774	617	179
775	618	178
776	618	177
777	619	176
778	619	175
779	620	175
780	621	174
781	621	173
782	622	172
783	623	171
784	623	170
785	624	169
786	625	169
787	625	168
788	626	167
789	626	166
790	627	165
791	628	164
792	628	164
793	629	163
794	629	162
795	630	161
796	631	160
797	631	159
798	632	159
799	633	158
800	633	157
801	634	156
802	634	155
803	635	154
804	635	154
805	636	153
806	637	152
807	637	151
808	638	150
809	639	149
810	639	149
811	640	148
812	641	147
813	641	146
814	642	145
815	642	144
816	643	144
817	644	143
818	644	142
819	645	141
820	645	140
821	646	139
822	647	139
823	647	138
824	648	137
825	648	136
826	649	135
827	649	135
828	650	134
829	651	133
830	651	132
831	652	131
832	653	130
833	653	130
834	654	129
835	655	128
836	655	127
837	656	126
838	657	126
839	657	125
840	658	124
841	658	123
842	659	122
843	660	122
844	660	121
845	661	120
846	661	119
847	662	118
848	663	117
849	663	117
850	664	116
851	664	115
852	665	114
853	666	113
854	666	113
855	667	112
856	668	111
857	668	110
858	669	109
859	669	109
860	670	108
861	671	107
862	671	106
863	672	105
864	673	105
865	673	104
866	674	103
867	674	102
868	675	101
869	675	101
870	676	100
871	677	99
872	677	98
873	678	97
874	678	96
875	679	96
876	680	95
877	680	94
878	681	93
879	682	93
880	682	92
881	684	91
882	685	90
883	685	89
884	686	89
